arquivo,slug,camel,categoria,decisao,uso
Multiple-Actions-Subtract--Streamline-Ultimate.svg,users-subtract,usersSubtract,generico,new,
Multiple-Actions-Sync--Streamline-Ultimate.svg,users-sync,usersSync,generico,new,
Multiple-Actions-Text--Streamline-Ultimate.svg,users-text,usersText,generico,new,
Multiple-Actions-Time--Streamline-Ultimate.svg,users-time,usersTime,generico,new,
Multiple-Actions-Up-Down--Streamline-Ultimate.svg,users-up-down,usersUpDown,generico,new,
Multiple-Actions-Upload--Streamline-Ultimate.svg,users-upload,usersUpload,generico,new,
Multiple-Actions-Video--Streamline-Ultimate.svg,users-video,usersVideo,generico,new,
Multiple-Actions-View--Streamline-Ultimate.svg,users-view,usersView,generico,new,
Multiple-Actions-Warning--Streamline-Ultimate.svg,users-warning,usersWarning,generico,new,
Multiple-Actions-Wifi--Streamline-Ultimate.svg,users-wifi,usersWifi,generico,new,
Multiple-Neutral-1--Streamline-Ultimate.svg,users,users,pessoas,new,Múltiplos usuários
Multiple-Neutral-2--Streamline-Ultimate.svg,users-two,usersTwo,pessoas,new,Dois usuários
Multiple-Users-2--Streamline-Ultimate.svg,users-group,usersGroup,pessoas,new,Grupo de usuários
Multiple-Users-Network--Streamline-Ultimate.svg,users-network,usersNetwork,pessoas,new,Rede de usuários
Multiple-Users-Wifi--Streamline-Ultimate.svg,users-connection,usersConnection,pessoas,new,Usuários conectados
Music-Sound--Streamline-Ultimate.svg,music-sound,musicSound,generico,new,
Mute-Chat-2--Streamline-Ultimate.svg,mute-chat,muteChat,generico,new,
Navigation-Menu--Streamline-Ultimate.svg,menu,menu,ui,new,Menu de navegação (hambúrguer)
Navigation-Menu-Horizontal--Streamline-Ultimate.svg,menu-horizontal,menuHorizontal,ui,new,Menu (reticências horizontais)
Navigation-Menu-Vertical--Streamline-Ultimate.svg,menu-vertical,menuVertical,ui,new,Menu (reticências verticais)
Network-Navigation--Streamline-Ultimate.svg,network,network,rastreio,new,Rede/navegação
Network-Pin--Streamline-Ultimate.svg,network-pin,networkPin,rastreio,new,Nó de rede localizado
Network-Search--Streamline-Ultimate.svg,network-search,networkSearch,generico,new,
Nft-Profile-Picture--Streamline-Ultimate.svg,nft-profile-picture,nftProfilePicture,generico,new,
No-Gas-Station--Streamline-Ultimate.svg,fuel-empty,fuelEmpty,telemetria,new,Sem combustível/posto
Office-Building-Double--Streamline-Ultimate.svg,office-building-double,officeBuildingDouble,generico,new,
Office-Building-Tall-1--Streamline-Ultimate.svg,office-building-tall,officeBuildingTall,generico,new,
Office-Drawer--Streamline-Ultimate.svg,office-drawer,officeDrawer,generico,new,
Office-File-Doc-1--Streamline-Ultimate.svg,file-doc,fileDoc,generico,new,
Office-File-Pdf-1--Streamline-Ultimate.svg,file-pdf,filePdf,generico,new,
Office-File-Ppt-1--Streamline-Ultimate.svg,file-ppt,filePpt,generico,new,
Office-File-Text-Graph--Streamline-Ultimate.svg,file-text-graph,fileTextGraph,generico,new,
